firstName,lastName,,Tm,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious,Achiuwa,,TOR,1140,196,404,87,124,100,228,328,50,31,30,59,102,508
Steven,Adams,,MEM,1133,157,263,47,129,214,271,485,97,36,46,79,98,361
Bam,Adebayo,,MIA,2598,602,1114,324,402,184,504,688,240,88,61,187,208,1529
Ochai,Agbaji,,UTA,1209,165,386,56,69,43,78,121,67,16,15,41,99,467
Santi,Aldama,,MEM,1682,247,525,108,144,85,286,371,97,45,48,60,143,696
Nickeil,Alexander-Walker,,TOT,884,131,295,40,60,15,86,101,108,32,21,55,88,363
Nickeil,Alexander-Walker,,UTA,528,83,170,27,39,8,51,59,76,24,14,45,58,228
Nickeil,Alexander-Walker,,MIN,356,48,125,13,21,7,35,42,32,8,7,10,30,135
Grayson,Allen,,MIL,1972,245,557,114,126,61,176,237,163,62,14,72,117,750
Jarrett,Allen,,CLE,2220,403,626,162,221,221,445,666,113,54,84,93,153,969
Jose,Alvarado,,NOP,1310,201,489,65,80,28,113,141,186,67,10,81,125,550
Kyle,Anderson,,MIN,1957,252,495,100,136,66,302,368,335,78,63,103,146,647
Giannis,Antetokounmpo,,MIL,2024,707,1278,498,772,137,605,742,359,52,51,246,197,1959
Thanasis,Antetokounmpo,,MIL,206,20,46,11,22,15,29,44,15,3,3,12,22,51
Cole,Anthony,,ORL,1552,277,610,152,170,47,241,288,235,37,31,91,158,781
OG,Anunoby,,TOR,2386,421,885,140,167,95,237,332,131,128,50,132,200,1124
Ryan,Arcidiacono,,TOT,172,9,37,0,0,0,15,15,23,5,0,7,17,26
Ryan,Arcidiacono,,NYK,26,1,5,0,0,0,4,4,2,2,0,1,3,3
Ryan,Arcidiacono,,POR,146,8,32,0,0,0,11,11,21,3,0,6,14,23
Deni,Avdija,,WAS,2020,253,579,122,165,74,413,487,211,65,29,123,209,697
