Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,C,24,TOR,19,0,344,61,132,0.462,12,39,0.308,49,93,0.527,0.508,19,31,0.613,37,76,113,40,11,8,26,34,153
Bam Adebayo,C,26,MIA,16,16,537,132,253,0.522,1,3,0.333,131,250,0.524,0.524,91,112,0.813,33,126,159,62,19,16,39,39,356
Ochai Agbaji,SG,23,UTA,26,10,551,65,149,0.436,33,86,0.384,32,63,0.508,0.547,6,8,0.75,24,43,67,28,18,13,18,40,169
Santi Aldama,PF,23,MEM,18,5,466,86,194,0.443,30,91,0.33,56,103,0.544,0.521,19,31,0.613,28,78,106,38,13,14,21,34,221
Nickeil Alexander-Walker,SG,25,MIN,24,11,571,63,153,0.412,36,99,0.364,27,54,0.5,0.529,9,15,0.6,11,38,49,60,20,17,28,46,171
Grayson Allen,SG,28,PHO,20,20,665,83,167,0.497,46,96,0.479,37,71,0.521,0.635,35,39,0.897,16,72,88,56,15,9,30,48,247
Jarrett Allen,C,25,CLE,21,21,611,114,167,0.683,0,0,,114,167,0.683,0.683,44,63,0.698,61,116,177,48,16,20,40,59,272
Jose Alvarado,PG,25,NOP,12,0,206,28,72,0.389,16,39,0.41,12,33,0.364,0.5,9,16,0.563,6,25,31,25,15,5,13,19,81
Kyle Anderson,PF,30,MIN,24,0,563,65,140,0.464,2,19,0.105,63,121,0.521,0.471,36,52,0.692,18,71,89,98,20,20,36,37,168
Giannis Antetokounmpo,PF,29,MIL,24,24,830,283,452,0.626,9,40,0.225,274,412,0.665,0.636,184,273,0.674,62,195,257,121,36,29,90,69,759
Thanasis Antetokounmpo,PF,31,MIL,10,0,53,4,9,0.444,0,0,,4,9,0.444,0.444,0,0,,3,3,6,4,2,1,5,7,8
Cole Anthony,PG,23,ORL,24,0,609,120,262,0.458,34,89,0.382,86,173,0.497,0.523,90,107,0.841,25,79,104,87,17,12,45,73,364
OG Anunoby,SF,26,TOR,21,21,691,123,256,0.48,53,136,0.39,70,120,0.583,0.584,26,38,0.684,21,68,89,53,22,13,36,50,325
Ryan Arcidiacono,PG,29,NYK,8,0,17,0,2,0,0,2,0,0,0,,0,0,0,,0,4,4,2,1,0,0,0,0
Deni Avdija,SF,23,WAS,24,24,644,111,219,0.507,23,66,0.348,88,153,0.575,0.559,39,46,0.848,28,104,132,96,19,8,35,49,284
Deandre Ayton,C,25,POR,20,20,623,117,202,0.579,0,0,,117,202,0.579,0.579,20,25,0.8,64,149,213,30,25,14,40,51,254
Udoka Azubuike,C,24,PHO,2,0,9,1,1,1,0,0,,1,1,1,1,0,0,,0,4,4,0,0,0,0,1,2
Marvin Bagley III,C,24,DET,21,8,388,83,145,0.572,1,5,0.2,82,140,0.586,0.576,41,49,0.837,40,63,103,24,3,14,26,33,208
Amari Bailey,PG,19,CHO,2,0,11,2,6,0.333,0,2,0,2,4,0.5,0.333,1,2,0.5,2,0,2,0,0,0,1,0,5
Patrick Baldwin Jr.,SF,21,WAS,7,0,39,5,13,0.385,3,5,0.6,2,8,0.25,0.5,4,4,1,2,8,10,3,0,1,1,4,17
LaMelo Ball,PG,22,CHO,15,15,501,132,298,0.443,52,134,0.388,80,164,0.488,0.53,54,63,0.857,23,59,82,123,21,4,59,52,370
Mo Bamba,C,25,PHI,14,0,89,20,37,0.541,5,10,0.5,15,27,0.556,0.608,8,11,0.727,17,18,35,4,1,10,7,13,53
Paolo Banchero,PF,21,ORL,24,24,804,180,374,0.481,29,76,0.382,151,298,0.507,0.52,101,149,0.678,33,128,161,109,24,14,78,53,490
Desmond Bane,SG,25,MEM,23,23,796,211,451,0.468,77,203,0.379,134,248,0.54,0.553,74,86,0.86,26,82,108,119,30,16,68,74,573
Dalano Banton,PG,24,BOS,11,1,91,13,27,0.481,1,7,0.143,12,20,0.6,0.5,5,6,0.833,10,15,25,5,2,2,5,12,32
Dominick Barlow,PF,20,SAS,7,0,35,3,7,0.429,0,0,,3,7,0.429,0.429,2,4,0.5,0,5,5,0,1,0,0,2,8
Harrison Barnes,PF,31,SAC,24,24,731,93,198,0.47,42,109,0.385,51,89,0.573,0.576,43,52,0.827,23,57,80,36,17,4,19,26,271
Scottie Barnes,SG,22,TOR,25,25,872,190,390,0.487,51,132,0.386,139,258,0.539,0.553,74,101,0.733,66,156,222,143,41,31,61,51,505
RJ Barrett,SG,23,NYK,20,20,586,131,305,0.43,37,105,0.352,94,200,0.47,0.49,82,97,0.845,14,64,78,49,9,6,33,28,381
Charles Bassey,C,23,SAS,19,0,205,29,40,0.725,0,1,0,29,39,0.744,0.725,5,6,0.833,23,53,76,21,8,17,15,31,63
Emoni Bates,SF,20,CLE,7,0,52,4,15,0.267,3,12,0.25,1,3,0.333,0.367,1,2,0.5,1,8,9,2,1,1,1,2,12
Keita Bates-Diop,SF,28,PHO,22,8,387,41,103,0.398,10,40,0.25,31,63,0.492,0.447,23,32,0.719,20,48,68,19,12,15,6,20,115
Nicolas Batum,PF,35,TOT,19,13,451,39,70,0.557,25,52,0.481,14,18,0.778,0.736,7,11,0.636,17,52,69,40,12,13,7,35,110
Nicolas Batum,PF,35,LAC,3,0,54,3,8,0.375,2,7,0.286,1,1,1,0.5,0,0,,0,7,7,5,3,4,1,5,8
Nicolas Batum,PF,35,PHI,16,13,397,36,62,0.581,23,45,0.511,13,17,0.765,0.766,7,11,0.636,17,45,62,35,9,9,6,30,102
Bradley Beal,SG,30,PHO,6,6,151,31,69,0.449,9,21,0.429,22,48,0.458,0.514,17,24,0.708,3,17,20,19,4,2,14,13,88
Malik Beasley,SG,27,MIL,24,24,727,104,215,0.484,71,155,0.458,33,60,0.55,0.649,8,12,0.667,17,89,106,35,23,4,16,50,287
MarJon Beauchamp,SF,23,MIL,21,1,356,44,91,0.484,17,39,0.436,27,52,0.519,0.577,11,18,0.611,14,41,55,18,7,4,17,34,116
Jules Bernard,SG,24,WAS,2,0,10,1,5,0.2,0,3,0,1,2,0.5,0.2,0,0,,1,0,1,1,0,0,1,1,2
D?vis Bert?ns,PF,31,OKC,9,0,71,7,19,0.368,7,18,0.389,0,1,0,0.553,14,15,0.933,1,7,8,7,2,2,1,10,35
Patrick Beverley,PG,35,PHI,25,1,428,41,96,0.427,16,51,0.314,25,45,0.556,0.51,17,26,0.654,20,49,69,58,14,6,16,44,115
Saddiq Bey,SF,24,ATL,25,13,781,115,247,0.466,44,124,0.355,71,123,0.577,0.555,41,51,0.804,54,102,156,33,27,4,29,39,315
Goga Bitadze,C,24,ORL,22,19,467,67,110,0.609,1,5,0.2,66,105,0.629,0.614,34,48,0.708,50,87,137,40,14,35,18,53,169
Onuralp Bitim,SG,24,CHI,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Bismack Biyombo,C,31,MEM,19,17,471,47,82,0.573,0,0,,47,82,0.573,0.573,19,37,0.514,43,86,129,37,6,22,25,55,113
Anthony Black,PG,20,ORL,22,18,431,44,87,0.506,10,31,0.323,34,56,0.607,0.563,16,25,0.64,14,42,56,34,8,8,21,46,114
Leaky Black,SF,24,CHO,5,0,25,3,6,0.5,1,2,0.5,2,4,0.5,0.583,0,0,,0,3,3,3,2,3,1,1,7
Bogdan Bogdanovi?,SG,31,ATL,24,2,671,151,325,0.465,82,200,0.41,69,125,0.552,0.591,35,38,0.921,10,71,81,61,35,7,29,63,419
